Unnamed: 0,sent_id,left_context,pivot,right_context,ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,dist
67253,253842,"Trucs et Astuces : Posez le curseur de votre souris dans le champ texte de votre choix, tapez CTRL+A pour tout sélectionner, puis effectuez votre CTRL+C pour ",copier, et votre CTRL+V pour coller le code HTML dans votre éditeur texte HTML.,30.0,copier,copier,VERB,VERB,VerbForm=Inf,26.0,advcl,26:advcl,_,2.0
82658,310696,"Un jeune obèse chinois de Shanghai est devenu en l'espace de trois ans une icône de l'internet, sous le surnom de """"Petit Gros"""", dont la photo ne cesse d'être diffusée, ",copiée," et détournée sur la Toile, a rapporté mercredi le China Daily.",39.0,copiée,copier,VERB,VERB,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,37.0,conj,37:conj,_,2.0
107096,404271,Au final ne me reste plus que les votes à supprimer et je ,copie, colle.,14.0,copie,copier,VERB,VERB,Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin,5.0,conj,5:conj,_,1.0
122765,463891,"En février 1943 la publication Oc s'émancipe comme organe de la SEO, dont le futur IEO ",copiera," la devise La fe sens obra, mòrta es, et tous les jeunes occitanistes la rejoignent.",19.0,copiera,copier,VERB,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin,10.0,acl:relcl,10:acl:relcl,_,1.0
153168,577717,Les utilisateurs ne doivent pas tenter de lire ou de ,copier, les fichiers d'un autre utilisateur sans son autorisation.,11.0,copier,copier,VERB,VERB,VerbForm=Inf,8.0,conj,8:conj,_,1.0
161005,606993,"Vos fichiers MP3 (légaux ou piratés), les WMA, AVI, DivX et autres WMV pourront toujours être lus, ",copiés," et échangeables, comme à l'accoutumée.",24.0,copiés,copier,VERB,VERB,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part,22.0,conj,22:conj,_,1.0
199921,754527,Outre le manque d'audace dont fait preuve Microsoft par rapport à Apple qu'il se contente de ,copier,", le point noir au tableau reste la commercialisation en Europe.",19.0,copier,copier,VERB,VERB,VerbForm=Inf,17.0,xcomp,17:xcomp,SpaceAfter=No,2.0
226361,853782,"Mclink permet également de sauvegarder le contenu entier d'un disque du Séries 3 (option """"Disque"""" puis """"",Copier," disque"""" dans le menu de l'écran système).",22.0,Copier,copier,VERB,VERB,VerbForm=Inf,18.0,conj,18:conj,_,3.0
236277,890865,"Un grand classique, très souvent ",copié,", qui répond sous forme de lexique à toutes les questions qu'on peut se poser sur cette religion.",7.0,copié,copier,VERB,VERB,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part,3.0,acl,3:acl,SpaceAfter=No,1.0
244184,920336,"On va ensuite sur la zone de collage, double tap et soit ca propose un menu pour ",copier," ou coller, soit ca colle la copie en mémoire, ca faut voir à l'usage si on copie plusieurs fois la meme chose ou si un seul copiage suffit.",19.0,copier,copier,VERB,VERB,VerbForm=Inf,15.0,advcl,15:advcl,_,2.0
245621,925695,"De son voyage en Espagne, il ramène des manuscrits qu'il a fait ",copier,", dont notamment un De Virginitate (l'actuel manuscrit latin 2855 de la Bibliothèque nationale de France).",15.0,copier,copier,VERB,VERB,VerbForm=Inf,10.0,acl:relcl,10:acl:relcl,SpaceAfter=No,2.0
253643,955526,"Enfin, il est possible que nous options, parfois, pour des liens à ",copier,/coller (ainsi qu'il est expliqué ici : A propos de liens).,16.0,copier,copier,VERB,VERB,VerbForm=Inf,14.0,acl,14:acl,SpaceAfter=No,2.0
